Band Pull-Apart,121809963
Banded External Rotation at 30 Degrees Abduction,121828059
Banded External Rotation at 90 Degrees Abduction,121828061
Banded Face Pull,121828062
Banded Scapular Protraction,121829337
Brady Band Series,121837004
Side-Lying Banded External Rotation With Abduction,122797363
Single-Arm Band Pull-Apart,122798050
Single-Arm Face Pull,123133284
Band-Resisted Scapular Pushup,121826855
Half-Kneeling Band Overhead Shrug,121853621
Supine Banded Scapular Protraction,123731797
Cable External Rotation on Knee,121837283
Cable External Rotation at 30 Degrees Abduction,121837279
Cable External Rotation at 90 Degrees Abduction,121837281
Face Pull,121852160
Side-Lying Cable External Rotation With Abduction,122797364
Dumbbell External Rotation on Knee,121851278
Prone Row to External Rotation,122357018
Side-Lying Dumbbell External Rotation With Abduction,122797370
Brady Band Series - Without Band,121837005
Prone T Raise,122357020
Prone Y Raise,122357898
Prone YTI,122357899
Supine Psoas March,123732073
